Full Design,NFE,Penalized Target Ratio Objective,Penalized Stiffness Objective,Feasibility Score,Stability Score
100110100101110010110110101111100100,3626,7.929286649320183,7.57995232790806,1.3877787807814457E-16,1.0
011011110011011111100100111100100000,7098,7.948039745184829,7.538802974765444,1.3877787807814457E-16,1.0
001001101111101101010101110110001001,310,8.04584225182919,7.715040264473594,1.3877787807814457E-16,1.0
011101000010001111101000010011000010,160,7.9954398785914735,7.928834067997244,1.3877787807814457E-16,1.0
111001101101101011011101111110111101,8548,7.944499319478709,7.52813999941193,1.3877787807814457E-16,1.0
011110011011000101011110110101010011,9666,7.952841895563057,7.486563548411663,1.3877787807814457E-16,1.0
111010000100111011110111101110101100,3414,7.940429947902559,7.5572609610796775,1.3877787807814457E-16,1.0
010001111100011100110001100111101011,1944,7.930035258883353,7.5706137737071195,1.3877787807814457E-16,1.0
011001111011011011010110010111100001,7806,7.949568310589609,7.605540111428286,1.3877787807814457E-16,1.0
011000100000111111100110001101110010,2778,7.947518020298184,7.461914092760432,1.3877787807814457E-16,1.0
011001110110111011011101001100101010,9546,7.9895383933318085,7.6200017205475135,1.3877787807814457E-16,1.0
111001000010101011010010110101110110,8422,7.929696958023731,7.529583802302077,1.3877787807814457E-16,1.0
101011011100010111011001001110001111,4882,7.946115408530379,7.532251845919886,1.3877787807814457E-16,1.0
100111101000110100101101111010101111,902,7.946650965660657,7.437871890797815,1.3877787807814457E-16,1.0
010000111101001100110101100101101011,7354,7.946697725586075,7.537853996550163,1.3877787807814457E-16,1.0
111101111101111111110000011101110111,7662,7.939976289741764,7.49772944318211,1.3877787807814457E-16,1.0
111010001101110011110110101111100101,3472,7.961435330750366,7.4072866511764,1.3877787807814457E-16,1.0
110101110111101010010110100001100100,8362,7.9341293590070725,7.582912763344294,1.3877787807814457E-16,1.0
100011101001100110010100101101100101,1734,7.952116258717692,7.439701482540116,1.3877787807814457E-16,1.0
110011001110100100011101111001101101,1824,7.954267728469138,7.398148340657419,1.3877787807814457E-16,1.0
111010011010101111110110001110100111,4732,7.964316895901452,7.35268741194391,1.3877787807814457E-16,1.0
110100001101011100111101010111001111,670,7.941479633033979,7.480615259119566,1.3877787807814457E-16,1.0
000011111110011010010101111001011011,9658,7.935049690301846,7.56971308515971,1.3877787807814457E-16,1.0
111111110001101111010111101010101110,6308,7.928881922596908,7.503706674758725,1.3877787807814457E-16,1.0
010001110100010110100110010110110000,7562,7.9444331886851245,7.561987534843158,1.3877787807814457E-16,1.0
110010101110100000000000101011110111,634,7.962851037526928,7.389113390956064,1.3877787807814457E-16,1.0
011000011001000101010011010111111011,9200,7.956379320713645,7.4894191257234715,1.3877787807814457E-16,1.0
001100101100101011110101101010111001,2922,7.985750134546453,7.653016017791295,1.3877787807814457E-16,1.0
100111111001101010100010000100110111,9942,7.9954398785914735,7.928835460998857,1.3877787807814457E-16,1.0
110110110001111010110100101110110100,3250,7.929061540793001,7.551084097063613,1.3877787807814457E-16,1.0
011110001100011001101011010101011001,1404,7.945513304988202,7.572279016405132,1.3877787807814457E-16,1.0
000000111001111010011001101111011001,2422,8.121761739921121,7.805728288203194,1.3877787807814457E-16,1.0
010000111001010110001101110101001001,1570,7.932123303521978,7.5695978208081085,1.3877787807814457E-16,1.0
101011110111111011110110111110100110,6910,7.935808477101018,7.56123377062838,1.3877787807814457E-16,1.0
000011100001111100100010010111010000,1514,7.946934462954662,7.619502575082622,1.3877787807814457E-16,1.0
010011110000110100010100101011010000,1372,7.9330294415292295,7.553847204370673,1.3877787807814457E-16,1.0
111110101000011111000111000011101101,4006,7.9447624807674,7.396009711864496,1.3877787807814457E-16,1.0
010001111011011010010110011101110011,9538,7.92892556724365,7.5647951235726145,1.3877787807814457E-16,1.0
111001101101111011110011011001101111,8374,7.933579500066303,7.507912724887236,1.3877787807814457E-16,1.0
100011111001100110010100101011110101,1620,7.948239462932983,7.46207807946596,1.3877787807814457E-16,1.0
111001011011110111010110011100100111,6482,7.961881930589939,7.353852457345102,1.3877787807814457E-16,1.0
110000010100111110010100011110100110,6282,7.945405989461687,7.520166095649949,1.3877787807814457E-16,1.0
111100110000010011010110001111100100,5264,7.941591298270274,7.5213390145056715,1.3877787807814457E-16,1.0
110100111001011100000100100110110101,868,7.949594645079604,7.502481906745916,1.3877787807814457E-16,1.0
010001011100001100110001101111001001,1596,7.930290022057507,7.60429147182914,1.3877787807814457E-16,1.0
010000011111000100011101111101111011,9058,7.955200208910907,7.447850991071447,1.3877787807814457E-16,1.0
101101111000000011101110111101000101,9442,7.945822753189673,7.464239807489795,1.3877787807814457E-16,1.0
011001010110011111100000011111010000,1662,7.948525891153734,7.634962931448961,1.3877787807814457E-16,1.0
111010010101110011111111101100101110,3060,7.929982603931663,7.504137454375615,1.3877787807814457E-16,1.0
010110101001010110000111000100111011,4646,7.962103392006428,7.469097025248567,1.3877787807814457E-16,1.0
011000010001111011001100101101010000,9784,7.971326420855853,7.634699813002033,1.3877787807814457E-16,1.0
000011110111011110011110100001110010,9582,7.935444829421365,7.550077155457307,1.3877787807814457E-16,1.0
101101100111001011011101001101101110,9520,7.979440219080113,7.621004500910608,1.3877787807814457E-16,1.0
010000110001111010110011100101101010,8824,7.930070529394252,7.578834566543008,1.3877787807814457E-16,1.0
101001010010010001000100101100100110,5812,7.934559099454206,7.576807923006298,1.3877787807814457E-16,1.0
101001111101111111010111001010101111,6026,7.935564798397617,7.492239576173019,1.3877787807814457E-16,1.0
010001111100001110010110011010100011,7336,7.952113245773918,7.468153513025838,1.3877787807814457E-16,1.0
001111101011010011000111000111111001,714,7.9884814627970115,7.6484111666420835,1.3877787807814457E-16,1.0
010001011110111010010110001001000011,7238,7.9954398785914735,7.928834673703422,1.3877787807814457E-16,1.0
110111110111011010010001001111101100,6754,7.970398409301811,7.629747849564399,1.3877787807814457E-16,1.0
