Full Design,NFE,Penalized Target Ratio Objective,Penalized Stiffness Objective,Feasibility Score,Stability Score
011101101111100101101000011110010001,7514,11.912278589653866,11.504748059130884,1.3877787807814457E-16,1.0
000111111011001010010111011100101011,4292,11.906881106146392,11.398326786826779,1.3877787807814457E-16,1.0
111100111000100001111110110100100111,6176,11.915976804771278,11.351801459887385,1.3877787807814457E-16,1.0
110100001110000100001110011110000111,642,11.937989234551019,11.13530282181205,1.3877787807814457E-16,1.0
010100110101000110011000100101010010,6670,11.898058965069655,11.492541789915908,1.3877787807814457E-16,1.0
110101100110010100011000101100100100,9084,11.907361307276012,11.47508795929383,1.3877787807814457E-16,1.0
101101110100010101100101101101001110,6836,11.905717958449225,11.489696965746196,1.3877787807814457E-16,1.0
110111111101000100001000101110100111,2142,11.92135694689244,11.325238456988913,1.3877787807814457E-16,1.0
111101100101010111000010111000110100,8082,11.91144345665666,11.371166225156317,1.3877787807814457E-16,1.0
010001010110010110000100011101000010,2434,11.915616296930292,11.353896594733824,1.3877787807814457E-16,1.0
110100001000110010000110001111110111,2718,11.93250553309082,11.215639006706324,1.3877787807814457E-16,1.0
001111110111100011000000001001010010,6754,11.923209292260502,11.556964235411055,1.3877787807814457E-16,1.0
001101110011000001011000001111010000,7158,12.069941442048808,11.709338540732734,1.3877787807814457E-16,1.0
001001101111000111011101001110011001,4410,11.95960032206743,11.580807807978998,1.3877787807814457E-16,1.0
100111100110100110010101010110101100,3006,11.903883302172032,11.489312149337355,1.3877787807814457E-16,1.0
011111110011010011000011011101001000,6228,11.910257298214194,11.492496232649858,1.3877787807814457E-16,1.0
010010101111000010010000001111110011,2870,11.920666750646769,11.351870649474614,1.3877787807814457E-16,1.0
000101100111011010101111111110111000,7756,11.932387149411978,11.556103723276582,1.3877787807814457E-16,1.0
100101011101100110110001110001111111,8812,11.908772149151167,11.433350196400909,1.3877787807814457E-16,1.0
000011011110010010011010010101110001,6074,11.895204504192922,11.46524386850271,1.3877787807814457E-16,1.0
101100110011110011110000011101000100,9780,11.932874490583659,11.580771091876693,1.3877787807814457E-16,1.0
111100100101101111010101000011101110,3266,11.89705971999295,11.459148460462927,1.3877787807814457E-16,1.0
100010010110000110100111010010001100,3408,11.922607817743254,11.338196885685361,1.3877787807814457E-16,1.0
001101111101000101011010001110000001,8180,11.918774497919154,11.515518424017143,1.3877787807814457E-16,1.0
111011111011000111011011000110011101,6588,11.903389703693563,11.456191240192375,1.3877787807814457E-16,1.0
011001001001011101111101101110101011,3438,11.908874059427928,11.462899883738359,1.3877787807814457E-16,1.0
111011100011101001010101101100101100,1650,11.917144819853862,11.498765473884049,1.3877787807814457E-16,1.0
101100100110101011100010011101000110,7946,11.901115463715787,11.437486541668108,1.3877787807814457E-16,1.0
011100011010100111110101001010111001,2060,11.893259817887209,11.454009044185842,1.3877787807814457E-16,1.0
111100111110011011011001100101101111,9818,11.91286033390828,11.497676544021271,1.3877787807814457E-16,1.0
010100110010000100010010110111100000,2420,11.914289408811525,11.407672906278309,1.3877787807814457E-16,1.0
001001101111000111011001111110101001,4662,11.934085349424068,11.545420318497465,1.3877787807814457E-16,1.0
111011111010010001001111011110101111,658,11.903515038544564,11.34140996504627,1.3877787807814457E-16,1.0
001101110110100011011000111100110000,8298,11.963592938228993,11.624782267774593,1.3877787807814457E-16,1.0
110110001110010000001011011110101111,444,11.921896892298227,11.250877435283622,1.3877787807814457E-16,1.0
011101100110110111011000001111110000,8520,11.96065218565815,11.596066074909084,1.3877787807814457E-16,1.0
110101010110100010100101110101101110,3464,11.90977747784857,11.410244177206474,1.3877787807814457E-16,1.0
101001011110110011010000001011110101,5240,11.926409872773036,11.528916604120111,1.3877787807814457E-16,1.0
011000101111000101110001001110111011,3380,11.898741204439121,11.423036882295131,1.3877787807814457E-16,1.0
100100110100110000011100001111010100,7152,11.942938713663896,11.583463192412351,1.3877787807814457E-16,1.0
100111001101000010100001100100101101,5110,11.911719515578648,11.413953774937111,1.3877787807814457E-16,1.0
101101100101010111001000001111010100,7948,11.950440251079423,11.581186501740858,1.3877787807814457E-16,1.0
010100111111001100111111111001111001,7502,11.905684406396833,11.426335271861962,1.3877787807814457E-16,1.0
