Full Design,Penalized Target Ratio Objective,Penalized Stiffness Objective,Feasibility Score,Stability Score
111110100100111101101110110111100100,11.899042427321456,11.433179050313134,1.3877787807814457E-16,1.0
111110100101111101111000111111110110,11.893259817887209,11.464399804968153,1.3877787807814457E-16,1.0
100100110011101000011100110101010100,11.928486054053266,11.578755275273803,1.3877787807814457E-16,1.0
100101101011110010100010111101000101,11.897096948020693,11.445022665042867,1.3877787807814457E-16,1.0
111100101101100111001110111101110101,11.92155038374012,11.335535900615026,1.3877787807814457E-16,1.0
100101101011101100001011110001111111,11.897912275047622,11.418217472457957,1.3877787807814457E-16,1.0
001111000100110011001011111000111000,11.924709736528115,11.522240647192938,1.3877787807814457E-16,1.0
000100110011111100111100111111110000,11.928218582190683,11.57617274542002,1.3877787807814457E-16,1.0
010100010010111110000110101001000000,11.904620828503102,11.420050791282051,1.3877787807814457E-16,1.0
000100110010111000011100111110000000,11.98954041570302,11.64423692184241,1.3877787807814457E-16,1.0
100110000100111100111000111111110100,11.896972725649173,11.495528005008676,1.3877787807814457E-16,1.0
000101101010101000111100101001000001,11.962549659022764,11.605175979190694,1.3877787807814457E-16,1.0
100101101010101100001110100010010101,11.904757558214753,11.454779817238801,1.3877787807814457E-16,1.0
010100110100011000000010101110110000,11.89809100933314,11.458922163391103,1.3877787807814457E-16,1.0
001111000011111011001110110001010000,11.942265175783264,11.566962254740988,1.3877787807814457E-16,1.0
000100110101110010101011110111101000,11.930586594714573,11.579652296111004,1.3877787807814457E-16,1.0
100100100010111110000110111110000100,11.897422153268256,11.431008078005041,1.3877787807814457E-16,1.0
010101101011101100101011110001111011,11.897693487801934,11.431573084279426,1.3877787807814457E-16,1.0
100100100011101000011100111111110100,11.912409854613877,11.52573156628432,1.3877787807814457E-16,1.0
000011100000100100011110111101010000,11.893259817887209,11.459761035548963,1.3877787807814457E-16,1.0
111101100010001101001110100010010100,11.909402447689356,11.454845928436756,1.3877787807814457E-16,1.0
111111100000100101111110111010110100,11.903164966056245,11.401744982949293,1.3877787807814457E-16,1.0
010110100110011000111100101001000000,11.924657403773523,11.545132057833191,1.3877787807814457E-16,1.0
000101101010101000101110111100010001,11.904686539587741,11.48685869561047,1.3877787807814457E-16,1.0
010100110010111000011100111110010000,11.944037645756858,11.579560407033279,1.3877787807814457E-16,1.0
000110100110011000101110111100010000,11.90026561694247,11.491187521547374,1.3877787807814457E-16,1.0
010110110110001000101110111100010000,11.90962236886592,11.424430010815867,1.3877787807814457E-16,1.0
100101101011101110001110111100110111,11.913240358018783,11.361388772810326,1.3877787807814457E-16,1.0
101100100100111101101110111100110100,11.893259817887209,11.45897946211109,1.3877787807814457E-16,1.0
001011100010011111101000111000010000,11.954571498427143,11.591769254176548,1.3877787807814457E-16,1.0
101101101110111101111110111110010101,11.916058143279097,11.503299972115986,1.3877787807814457E-16,1.0
100110100010001110101110110111000100,11.906326634591007,11.425993105857797,1.3877787807814457E-16,1.0
001111000100110111001001110001111000,11.943459393909627,11.578572043341783,1.3877787807814457E-16,1.0
011100101100110111001101110001111001,11.902795997439958,11.475715016214558,1.3877787807814457E-16,1.0
001111000011001011101011111101111000,11.91418943360526,11.524141370980933,1.3877787807814457E-16,1.0
010100101011111010011110110001010001,11.905633114132446,11.487914867569172,1.3877787807814457E-16,1.0
011100101010101101111110111100110001,11.900743890681497,11.425293336464215,1.3877787807814457E-16,1.0
101100100100111101101110001111110100,11.906711297721769,11.49263067017984,1.3877787807814457E-16,1.0
111100100110101111001011011000011100,11.901007325527727,11.452817337573396,1.3877787807814457E-16,1.0
101111001111011101000100111101000101,11.902234437981805,11.409828330289642,1.3877787807814457E-16,1.0
010101101000101000111011011011111001,11.908182227187332,11.484323475386708,1.3877787807814457E-16,1.0
101110101111001101001100101101000101,11.899232263701661,11.431338972542255,1.3877787807814457E-16,1.0
111110100010011111101000111000010110,11.899839654327296,11.418226210059728,1.3877787807814457E-16,1.0
001011101111101011100010101101110001,11.901166373587282,11.500765654009475,1.3877787807814457E-16,1.0
